Year,Ceremony,Award,Winner,Name,Film
1955,28,Film Editing,1,Charles Nelson; William A. Lyon,Picnic 
1955,28,Film Editing,,Warren Low,The Rose Tattoo 
1955,28,Music (Music Score of a Dramatic or Comedy Picture),,Max Steiner,Battle Cry 
1955,28,Music (Music Score of a Dramatic or Comedy Picture),1,Alfred Newman,Love Is a Many-Splendored Thing 
1955,28,Music (Music Score of a Dramatic or Comedy Picture),,Elmer Bernstein,The Man with the Golden Arm 
1955,28,Music (Music Score of a Dramatic or Comedy Picture),,George Duning,Picnic 
1955,28,Music (Music Score of a Dramatic or Comedy Picture),,Alex North,The Rose Tattoo 
1955,28,Music (Scoring of a Musical Picture),,Alfred Newman,Daddy Long Legs 
1955,28,Music (Scoring of a Musical Picture),,Jay Blackton; Cyril J. Mockridge,Guys and Dolls 
1955,28,Music (Scoring of a Musical Picture),,Andre Previn,It's Always Fair Weather 
1955,28,Music (Scoring of a Musical Picture),,Percy Faith; George Stoll,Love Me or Leave Me 
1955,28,Music (Scoring of a Musical Picture),1,Robert Russell Bennett; Jay Blackton; Adolph Deutsch,Oklahoma! 
1955,28,Music (Song),,Nicholas Brodszky: Music; Sammy Cahn: Lyrics,"Love Me or Leave Me: ""I'll Never Stop Loving You"""
1955,28,Music (Song),1,Sammy Fain: Music; Paul Francis Webster: Lyrics,"Love Is a Many-Splendored Thing: ""Love Is A Many-Splendored Thing"""
1955,28,Music (Song),,"Johnny Mercer: Music, Lyrics","Daddy Long Legs: ""Something's Gotta Give"""
1955,28,Music (Song),,James Van Heusen: Music; Sammy Cahn: Lyrics,"The Tender Trap: ""(Love Is) The Tender Trap"""
1955,28,Music (Song),,Alex North: Music; Hy Zaret: Lyrics,"Unchained: ""Unchained Melody"""
1955,28,Best Motion Picture,,Buddy Adler: Producer,Love Is a Many-Splendored Thing 
1955,28,Best Motion Picture,1,Harold Hecht: Producer,Marty 
1955,28,Best Motion Picture,,Leland Hayward: Producer,Mister Roberts 
1955,28,Best Motion Picture,,Fred Kohlmar: Producer,Picnic 
1955,28,Best Motion Picture,,Hal B. Wallis: Producer,The Rose Tattoo 
1955,28,Short Subject (Cartoon),,Fred Quimby: Producer; William Hanna: Producer; Joseph Barbera: Producer,Good Will to Men 
1955,28,Short Subject (Cartoon),,Walter Lantz: Producer,The Legend of Rock-a-bye Point 
1955,28,Short Subject (Cartoon),,Walt Disney: Producer,No Hunting 
1955,28,Short Subject (Cartoon),1,Edward Selzer: Producer,Speedy Gonzales 
1955,28,Short Subject (One Reel),,Robert Youngson: Producer,Gadgets Galore 
1955,28,Short Subject (One Reel),1,Edmund Reek: Producer,Survival City 
1955,28,Short Subject (One Reel),,Carson Davidson: Producer,3rd Ave. El
1955,28,Short Subject (One Reel),,Justin Herman: Producer,Three Kisses 
1955,28,Short Subject (Two Reel),,Dore Schary: Producer,The Battle of Gettysburg 
1955,28,Short Subject (Two Reel),1,Wilbur T. Blume: Producer,The Face of Lincoln 
1955,28,Short Subject (Two Reel),,George K. Arthur: Producer,On the Twelfth Day... 
1955,28,Short Subject (Two Reel),,Walt Disney: Producer,Switzerland 
1955,28,Short Subject (Two Reel),,Cedric Francis: Producer,24-Hour Alert
1955,28,Sound Recording,,"Carl W. Faulkner: Sound Director, 20th Century-Fox Studio Sound Department",Love Is a Many-Splendored Thing 
1955,28,Sound Recording,,"Wesley C. Miller: Sound Director, Metro-Goldwyn-Mayer Studio Sound Department",Love Me or Leave Me 
1955,28,Sound Recording,,"William A. Mueller: Sound Director, Warner Brothers Studio Sound Department",Mister Roberts 
1955,28,Sound Recording,,"Watson Jones: Sound Director, Radio Corporation of America Sound Department",Not as a Stranger 
1955,28,Sound Recording,1,"Fred Hynes: Sound Director, Todd-AO Sound Department",Oklahoma! 
1955,28,Special Effects,1,Paramount Studio,The Bridges at Toko-Ri 
1955,28,Special Effects,,"Associated British Picture Corporation, Ltd.",The Dam Busters 
1955,28,Special Effects,,20th Century-Fox Studio,The Rains of Ranchipur 
1955,28,Writing (Motion Picture Story),1,Daniel Fuchs,Love Me or Leave Me 
1955,28,Writing (Motion Picture Story),,Joe Connelly; Bob Mosher,The Private War of Major Benson 
1955,28,Writing (Motion Picture Story),,Nicholas Ray,Rebel without a Cause 
1955,28,Writing (Motion Picture Story),,Jean Marsan; Henry Troyat; Jacques Perret; Henri Verneuil; Raoul Ploquin,The Sheep Has Five Legs 
1955,28,Writing (Motion Picture Story),,"Beirne Lay, Jr.",Strategic Air Command 
1955,28,Writing (Screenplay),,Millard Kaufman,Bad Day at Black Rock 
1955,28,Writing (Screenplay),,Richard Brooks,Blackboard Jungle 
1955,28,Writing (Screenplay),,Paul Osborn,East of Eden 
1955,28,Writing (Screenplay),,Daniel Fuchs; Isobel Lennart,Love Me or Leave Me 
1955,28,Writing (Screenplay),1,Paddy Chayefsky,Marty 
1955,28,Writing (Story and Screenplay),,Milton Sperling; Emmet Lavery,The Court-Martial of Billy Mitchell 
1955,28,Writing (Story and Screenplay),1,William Ludwig; Sonya Levien,Interrupted Melody 
1955,28,Writing (Story and Screenplay),,Betty Comden; Adolph Green,It's Always Fair Weather 
1955,28,Writing (Story and Screenplay),,Jacques Tati; Henri Marquet,Mr. Hulot's Holiday 
1955,28,Writing (Story and Screenplay),,Melville Shavelson; Jack Rose,The Seven Little Foys 
1956,29,Actor,1,Yul Brynner,The King and I
1956,29,Actor,,James Dean,Giant
1956,29,Actor,,Kirk Douglas,Lust for Life
1956,29,Actor,,Rock Hudson,Giant
1956,29,Actor,,Sir Laurence Olivier,Richard III
1956,29,Actor in a Supporting Role,,Don Murray,Bus Stop
1956,29,Actor in a Supporting Role,,Anthony Perkins,Friendly Persuasion
1956,29,Actor in a Supporting Role,1,Anthony Quinn,Lust for Life
1956,29,Actor in a Supporting Role,,Mickey Rooney,The Bold and the Brave
1956,29,Actor in a Supporting Role,,Robert Stack,Written on the Wind
1956,29,Actress,,Carroll Baker,Baby Doll
1956,29,Actress,1,Ingrid Bergman,Anastasia
1956,29,Actress,,Katharine Hepburn,The Rainmaker
1956,29,Actress,,Nancy Kelly,The Bad Seed
1956,29,Actress,,Deborah Kerr,The King and I
1956,29,Actress in a Supporting Role,,Mildred Dunnock,Baby Doll
1956,29,Actress in a Supporting Role,,Eileen Heckart,The Bad Seed
1956,29,Actress in a Supporting Role,,Mercedes McCambridge,Giant
1956,29,Actress in a Supporting Role,,Patty McCormack,The Bad Seed
1956,29,Actress in a Supporting Role,1,Dorothy Malone,Written on the Wind
1956,29,Art Direction (Black and White),,Takashi Matsuyama,The Magnificent Seven 
1956,29,Art Direction (Black and White),,Hal Pereira: Art Direction; A. Earl Hedrick: Art Direction; Samuel M. Comer: Set Decoration; Frank R. McKelvy: Set Decoration,The Proud and Profane 
1956,29,Art Direction (Black and White),,Ross Bellah: Art Direction; William R. Kiernan: Set Decoration; Louis Diage: Set Decoration,The Solid Gold Cadillac 
1956,29,Art Direction (Black and White),1,Cedric Gibbons: Art Direction; Malcolm F. Brown: Art Direction; Edwin B. Willis: Set Decoration; F. Keogh Gleason: Set Decoration,Somebody Up There Likes Me 
1956,29,Art Direction (Black and White),,Lyle R. Wheeler: Art Direction; Jack Martin Smith: Art Direction; Walter M. Scott: Set Decoration; Stuart A. Reiss: Set Decoration,Teenage Rebel 
1956,29,Art Direction (Color),,James W. Sullivan: Art Direction; Ken Adam: Art Direction; Ross J. Dowd: Set Decoration,Around the World in 80 Days
1956,29,Art Direction (Color),,Boris Leven: Art Direction; Ralph S. Hurst: Set Decoration,Giant 
1956,29,Art Direction (Color),1,Lyle R. Wheeler: Art Direction; John DeCuir: Art Direction; Walter M. Scott: Set Decoration; Paul S. Fox: Set Decoration,The King and I 
1956,29,Art Direction (Color),,Cedric Gibbons: Art Direction; Hans Peters: Art Direction; Preston Ames: Art Direction; Edwin B. Willis: Set Decoration; F. Keogh Gleason: Set Decoration,Lust for Life 
1956,29,Art Direction (Color),,Hal Pereira: Art Direction; Walter H. Tyler: Art Direction; Albert Nozaki: Art Direction; Samuel M. Comer: Set Decoration; Ray Moyer: Set Decoration,The Ten Commandments 
1956,29,Cinematography (Black and White),,Boris Kaufman,Baby Doll 
1956,29,Cinematography (Black and White),,Hal Rosson,The Bad Seed 
1956,29,Cinematography (Black and White),,Burnett Guffey,The Harder They Fall 
1956,29,Cinematography (Black and White),1,Joseph Ruttenberg,Somebody Up There Likes Me 
1956,29,Cinematography (Black and White),,Walter Strenge,Stagecoach to Fury 
1956,29,Cinematography (Color),1,Lionel Lindon,Around the World in 80 Days
1956,29,Cinematography (Color),,Harry Stradling,The Eddy Duchin Story 
1956,29,Cinematography (Color),,Leon Shamroy,The King and I 
1956,29,Cinematography (Color),,Loyal Griggs,The Ten Commandments 
1956,29,Cinematography (Color),,Jack Cardiff,War and Peace 
1956,29,Costume Design (Black and White),,Kohei Ezaki,The Magnificent Seven 
1956,29,Costume Design (Black and White),,Helen Rose,The Power and the Prize 
1956,29,Costume Design (Black and White),,Edith Head,The Proud and Profane 
1956,29,Costume Design (Black and White),1,Jean Louis,The Solid Gold Cadillac 
1956,29,Costume Design (Black and White),,Charles LeMaire; Mary Wills,Teenage Rebel 
1956,29,Costume Design (Color),,Miles White,Around the World in 80 Days
1956,29,Costume Design (Color),,Moss Mabry; Marjorie Best,Giant 
1956,29,Costume Design (Color),1,Irene Sharaff,The King and I 
1956,29,Costume Design (Color),,Edith Head; Ralph Jester; John Jensen; Dorothy Jeakins; Arnold Friberg,The Ten Commandments 
1956,29,Costume Design (Color),,Marie De Matteis,War and Peace 
1956,29,Directing,,Michael Anderson,Around the World in 80 Days
1956,29,Directing,,William Wyler,Friendly Persuasion 
1956,29,Directing,1,George Stevens,Giant 
1956,29,Directing,,Walter Lang,The King and I 
1956,29,Directing,,King Vidor,War and Peace 
1956,29,Documentary (Feature),,Louis Clyde Stoumen: Producer,The Naked Eye 
1956,29,Documentary (Feature),1,Jacques-Yves Cousteau: Producer,The Silent World 
1956,29,Documentary (Feature),,The Government Film Committee of Denmark,Where Mountains Float 
1956,29,Documentary (Short Subject),,"Charles Guggenheim & Associates, Inc.",A City Decides 
1956,29,Documentary (Short Subject),,John Healy: Producer,The Dark Wave 
1956,29,Documentary (Short Subject),,Valentine Davies: Producer,The House without a Name 
1956,29,Documentary (Short Subject),,Ward Kimball: Producer,Man in Space 
1956,29,Documentary (Short Subject),1,Louis Clyde Stoumen: Producer,The True Story of the Civil War 
1956,29,Film Editing,1,Gene Ruggiero; Paul Weatherwax,Around the World in 80 Days
1956,29,Film Editing,,Merrill G. White,The Brave One 
1956,29,Film Editing,,William Hornbeck; Philip W. Anderson; Fred Bohanan,Giant 
1956,29,Film Editing,,Albert Akst,Somebody Up There Likes Me 
1956,29,Film Editing,,Anne Bauchens,The Ten Commandments 
1956,29,Foreign Language Film,,Federal Republic of Germany - West; Gyula Trebitsch: Producer; Walter Koppel: Producer,The Captain of Kopenick 
1956,29,Foreign Language Film,,France; Annie Dorfmann: Producer,Gervaise 
1956,29,Foreign Language Film,,Japan; Masayuki Takagi: Producer,Harp of Burma 
1956,29,Foreign Language Film,1,Italy: Dino De Laurentiis: Producer; Carlo Ponti: Producer,La Strada 
1956,29,Foreign Language Film,,Denmark; O. Dalsgaard-Olsen: Producer,Qivitoq 
1956,29,Music (Music Score of a Dramatic or Comedy Picture),,Alfred Newman,Anastasia 
1956,29,Music (Music Score of a Dramatic or Comedy Picture),1,Victor Young,Around the World in 80 Days
1956,29,Music (Music Score of a Dramatic or Comedy Picture),,Hugo Friedhofer,Between Heaven and Hell 
1956,29,Music (Music Score of a Dramatic or Comedy Picture),,Dimitri Tiomkin,Giant 
1956,29,Music (Music Score of a Dramatic or Comedy Picture),,Alex North,The Rainmaker 
1956,29,Music (Scoring of a Musical Picture),,Lionel Newman,The Best Things in Life Are Free 
1956,29,Music (Scoring of a Musical Picture),,Morris Stoloff; George Duning,The Eddy Duchin Story 
1956,29,Music (Scoring of a Musical Picture),,Johnny Green; Saul Chaplin,High Society 
1956,29,Music (Scoring of a Musical Picture),1,Alfred Newman; Ken Darby,The King and I 
1956,29,Music (Scoring of a Musical Picture),,George Stoll; Johnny Green,Meet Me in Las Vegas 
1956,29,Music (Song),,Dimitri Tiomkin: Music; Paul Francis Webster: Lyrics,"Friendly Persuasion: ""Friendly Persuasion (Thee I Love)"""
1956,29,Music (Song),,Leith Stevens: Music; Tom Adair: Lyrics,"Julie: ""Julie"""
1956,29,Music (Song),,"Cole Porter: Music, Lyrics","High Society: ""True Love"""
1956,29,Music (Song),1,"Jay Livingston: Music, Lyrics; Ray Evans: Music, Lyrics","The Man Who Knew Too Much: ""Whatever Will Be, Will Be (Que Sera, Sera)"""
1956,29,Music (Song),,Victor Young: Music; Sammy Cahn: Lyrics,"Written on the Wind: ""Written On The Wind"""
1956,29,Best Motion Picture,1,Michael Todd: Producer,Around the World in 80 Days
1956,29,Best Motion Picture,,William Wyler: Producer,Friendly Persuasion 
1956,29,Best Motion Picture,,George Stevens: Producer; Henry Ginsberg: Producer,Giant 
1956,29,Best Motion Picture,,Charles Brackett: Producer,The King and I 
1956,29,Best Motion Picture,,Cecil B. DeMille: Producer,The Ten Commandments 
1956,29,Short Subject (Cartoon),,Stephen Bosustow: Producer,Gerald McBoing-Boing on Planet Moo 
1956,29,Short Subject (Cartoon),,Stephen Bosustow: Producer,The Jaywalker 
1956,29,Short Subject (Cartoon),1,Stephen Bosustow: Producer,Mister Magoo's Puddle Jumper 
1956,29,Short Subject (One Reel),1,Konstantin Kalser: Producer,Crashing the Water Barrier 
1956,29,Short Subject (One Reel),,Robert Youngson: Producer,I Never Forget a Face 
1956,29,Short Subject (One Reel),,Cedric Francis: Producer,Time Stood Still 
1956,29,Short Subject (Two Reel),1,Romulus Films,The Bespoke Overcoat 
1956,29,Short Subject (Two Reel),,Larry Lansburgh: Producer,Cow Dog 
1956,29,Short Subject (Two Reel),,John Healy: Producer,The Dark Wave 
1956,29,Short Subject (Two Reel),,Walt Disney: Producer,Samoa 
1956,29,Sound Recording,,"John Myers: Sound Director, King Brothers Productions, Inc., Sound Department",The Brave One 
1956,29,Sound Recording,,"John Livadary: Sound Director, Columbia Studio Sound Department",The Eddy Duchin Story 
1956,29,Sound Recording,,"Gordon R. Glennan: Sound Director, Westrex Sound Services, Inc.; Gordon Sawyer: Sound Director, Samuel Goldwyn Studio Sound Department",Friendly Persuasion 
1956,29,Sound Recording,1,"Carl Faulkner: Sound Director, 20th Century-Fox Studio Sound Department",The King and I 
1956,29,Sound Recording,,"Loren L. Ryder: Sound Director, Paramount Studio Sound Department",The Ten Commandments 
1956,29,Special Effects,,A. Arnold Gillespie; Irving Ries; Wesley C. Miller,Forbidden Planet 
1956,29,Special Effects,1,John Fulton,The Ten Commandments 
1956,29,Writing (Motion Picture Story),1,Dalton Trumbo,The Brave One 
1956,29,Writing (Motion Picture Story),,Leo Katcher,The Eddy Duchin Story 
1956,29,Writing (Motion Picture Story),,Edward Bernds; Elwood Ullman,High Society 
1956,29,Writing (Motion Picture Story),,Jean Paul Sartre,The Proud and the Beautiful 
1956,29,Writing (Motion Picture Story),,Cesare Zavattini,Umberto D. 
1956,29,"Writing (Screenplay, Adapted)",1,James Poe; John Farrow; S.J. Perelman,Around the World in 80 Days
1956,29,"Writing (Screenplay, Adapted)",,Tennessee Williams,Baby Doll 
1956,29,"Writing (Screenplay, Adapted)",,Michael Wilson,Friendly Persuasion 
1956,29,"Writing (Screenplay, Adapted)",,Fred Guiol; Ivan Moffat,Giant 
1956,29,"Writing (Screenplay, Adapted)",,Norman Corwin,Lust for Life 
1956,29,"Writing (Screenplay, Original)",,Robert Lewin,The Bold and the Brave 
1956,29,"Writing (Screenplay, Original)",,Andrew L. Stone,Julie 
1956,29,"Writing (Screenplay, Original)",,Federico Fellini; Tullio Pinelli,La Strada 
1956,29,"Writing (Screenplay, Original)",,William Rose,The Ladykillers 
1956,29,"Writing (Screenplay, Original)",1,Albert Lamorisse,The Red Balloon 
1957,30,Actor,,Marlon Brando,Sayonara
1957,30,Actor,,Anthony Franciosa,A Hatful of Rain
1957,30,Actor,1,Alec Guinness,The Bridge on the River Kwai
1957,30,Actor,,Charles Laughton,Witness for the Prosecution
1957,30,Actor,,Anthony Quinn,Wild Is the Wind
1957,30,Actor in a Supporting Role,1,Red Buttons,Sayonara
1957,30,Actor in a Supporting Role,,Vittorio De Sica,A Farewell to Arms
1957,30,Actor in a Supporting Role,,Sessue Hayakawa,The Bridge on the River Kwai
1957,30,Actor in a Supporting Role,,Arthur Kennedy,Peyton Place
1957,30,Actor in a Supporting Role,,Russ Tamblyn,Peyton Place
1957,30,Actress,,Deborah Kerr,"Heaven Knows, Mr. Allison"
1957,30,Actress,,Anna Magnani,Wild Is the Wind
1957,30,Actress,,Elizabeth Taylor,Raintree County
1957,30,Actress,,Lana Turner,Peyton Place
1957,30,Actress,1,Joanne Woodward,The Three Faces of Eve
1957,30,Actress in a Supporting Role,,Carolyn Jones,The Bachelor Party
1957,30,Actress in a Supporting Role,,Elsa Lanchester,Witness for the Prosecution
1957,30,Actress in a Supporting Role,,Hope Lange,Peyton Place
1957,30,Actress in a Supporting Role,1,Miyoshi Umeki,Sayonara
1957,30,Actress in a Supporting Role,,Diane Varsi,Peyton Place
1957,30,Art Direction,,Hal Pereira: Art Direction; George W. Davis: Art Direction; Sam Comer: Set Decoration; Ray Moyer: Set Decoration,Funny Face 
1957,30,Art Direction,,William A. Horning: Art Direction; Gene Allen: Art Direction; Edwin B. Willis: Set Decoration; Richard Pefferle: Set Decoration,Les Girls 
1957,30,Art Direction,,Walter Holscher: Art Direction; William Kiernan: Set Decoration; Louis Diage: Set Decoration,Pal Joey 
1957,30,Art Direction,,William A. Horning: Art Direction; Urie McCleary: Art Direction; Edwin B. Willis: Set Decoration; Hugh Hunt: Set Decoration,Raintree County 
1957,30,Art Direction,1,Ted Haworth: Art Direction; Robert Priestley: Set Decoration,Sayonara 
1957,30,Cinematography,,Milton Krasner,An Affair to Remember 
1957,30,Cinematography,1,Jack Hildyard,The Bridge on the River Kwai 
1957,30,Cinematography,,Ray June,Funny Face 
1957,30,Cinematography,,William Mellor,Peyton Place 
1957,30,Cinematography,,Ellsworth Fredricks,Sayonara 
1957,30,Costume Design,,Charles LeMaire,An Affair to Remember 
1957,30,Costume Design,,Edith Head; Hubert de Givenchy,Funny Face 
1957,30,Costume Design,1,Orry-Kelly,Les Girls 
1957,30,Costume Design,,Jean Louis,Pal Joey 
1957,30,Costume Design,,Walter Plunkett,Raintree County 
1957,30,Directing,1,David Lean,The Bridge on the River Kwai 
1957,30,Directing,,Mark Robson,Peyton Place 
1957,30,Directing,,Joshua Logan,Sayonara 
1957,30,Directing,,Sidney Lumet,12 Angry Men
1957,30,Directing,,Billy Wilder,Witness for the Prosecution 
1957,30,Documentary (Feature),1,Jerome Hill: Producer,Albert Schweitzer 
1957,30,Documentary (Feature),,Lionel Rogosin: Producer,On the Bowery 
1957,30,Documentary (Feature),,Manuel Barbachano Ponce: Producer,Torero! 
1957,30,Film Editing,1,Peter Taylor,The Bridge on the River Kwai 
1957,30,Film Editing,,Warren Low,Gunfight at the O.K. Corral 
1957,30,Film Editing,,Viola Lawrence; Jerome Thoms,Pal Joey 
1957,30,Film Editing,,Arthur P. Schmidt; Philip W. Anderson,Sayonara 
1957,30,Film Editing,,Daniel Mandell,Witness for the Prosecution 
1957,30,Foreign Language Film,,West Germany,The Devil Came at Night 
1957,30,Foreign Language Film,,France,Gates of Paris 
1957,30,Foreign Language Film,,India,Mother India 
1957,30,Foreign Language Film,1,Italy,The Nights of Cabiria 
1957,30,Foreign Language Film,,Norway,Nine Lives 
1957,30,Music (Scoring),,Hugo Friedhofer,An Affair to Remember 
1957,30,Music (Scoring),,Hugo Friedhofer,Boy on a Dolphin 
1957,30,Music (Scoring),1,Malcolm Arnold,The Bridge on the River Kwai 
1957,30,Music (Scoring),,Paul Smith,Perri 
1957,30,Music (Scoring),,Johnny Green,Raintree County 
1957,30,Music (Song),,Harry Warren: Music; Harold Adamson: Lyrics; Leo McCarey: Lyrics,"An Affair to Remember: ""An Affair To Remember"""
1957,30,Music (Song),1,James Van Heusen: Music; Sammy Cahn: Lyrics,"The Joker Is Wild: ""All The Way"""
1957,30,Music (Song),,Sammy Fain: Music; Paul Francis Webster: Lyrics,"April Love: ""April Love"""
1957,30,Music (Song),,"Ray Evans: Music, Lyrics; Jay Livingston: Music, Lyrics","Tammy and the Bachelor: ""Tammy"""
1957,30,Music (Song),,Dimitri Tiomkin: Music; Ned Washington: Lyrics,"Wild Is the Wind: ""Wild Is The Wind"""
1957,30,Best Motion Picture,1,Sam Spiegel: Producer,The Bridge on the River Kwai 
1957,30,Best Motion Picture,,Jerry Wald: Producer,Peyton Place 
1957,30,Best Motion Picture,,William Goetz: Producer,Sayonara 
1957,30,Best Motion Picture,,Henry Fonda: Producer; Reginald Rose: Producer,12 Angry Men
1957,30,Best Motion Picture,,"Arthur Hornblow, Jr.: Producer",Witness for the Prosecution 
1957,30,Short Subject (Cartoon),1,Edward Selzer: Producer,Birds Anonymous 
1957,30,Short Subject (Cartoon),,William Hanna: Producer; Joseph Barbera: Producer,One Droopy Knight 
1957,30,Short Subject (Cartoon),,Edward Selzer: Producer,Tabasco Road 
1957,30,Short Subject (Cartoon),,Stephen Bosustow: Producer,Trees and Jamaica Daddy 
1957,30,Short Subject (Cartoon),,Walt Disney: Producer,The Truth about Mother Goose 
1957,30,Short Subject (Live Action),,Norman McLaren: Producer,A Chairy Tale 
1957,30,Short Subject (Live Action),,Tom Daly: Producer,City of Gold 
1957,30,Short Subject (Live Action),,James Carr: Producer,Foothold on Antarctica 
1957,30,Short Subject (Live Action),,Ben Sharpsteen: Producer,Portugal 
1957,30,Short Subject (Live Action),1,Larry Lansburgh: Producer,The Wetback Hound 
1957,30,Sound Recording,,"George Dutton: Sound Director, Paramount Studio Sound Department",Gunfight at the O.K. Corral 
1957,30,Sound Recording,,"Dr. Wesley C. Miller: Sound Director, Metro-Goldwyn-Mayer Studio Sound Department",Les Girls 
1957,30,Sound Recording,,"John P. Livadary: Sound Director, Columbia Studio Sound Department",Pal Joey 
1957,30,Sound Recording,1,"George Groves: Sound Director, Warner Brothers Studio Sound Department",Sayonara 
1957,30,Sound Recording,,"Gordon E. Sawyer: Sound Director, Samuel Goldwyn Studio Sound Department",Witness for the Prosecution 
1957,30,Special Effects,1,Walter Rossi: Audible Effects,The Enemy Below 
1957,30,Special Effects,,Louis Lichtenfield: Visual Effects,The Spirit of St. Louis 
1957,30,"Writing (Screenplay, Based on Material from Another Medium)",1,Michael Wilson; Carl Foreman; Pierre Boulle,The Bridge on the River Kwai 
1957,30,"Writing (Screenplay, Based on Material from Another Medium)",,John Lee Mahin; John Huston,"Heaven Knows, Mr. Allison "
1957,30,"Writing (Screenplay, Based on Material from Another Medium)",,John Michael Hayes,Peyton Place 
1957,30,"Writing (Screenplay, Based on Material from Another Medium)",,Paul Osborn,Sayonara 
1957,30,"Writing (Screenplay, Based on Material from Another Medium)",,Reginald Rose,12 Angry Men
1957,30,"Writing (Story and Screenplay, Written Directly for the Screen)",1,George Wells,Designing Woman 
1957,30,"Writing (Story and Screenplay, Written Directly for the Screen)",,Leonard Gershe,Funny Face 
1957,30,"Writing (Story and Screenplay, Written Directly for the Screen)",,Ralph Wheelwright: Story; R. Wright Campbell: Screenplay; Ivan Goff: Screenplay; Ben Roberts: Screenplay,Man of a Thousand Faces 
1957,30,"Writing (Story and Screenplay, Written Directly for the Screen)",,Barney Slater: Story; Joel Kane: Story; Dudley Nichols: Screenplay,The Tin Star 
1957,30,"Writing (Story and Screenplay, Written Directly for the Screen)",,Federico Fellini: Story; Ennio Flaiano: Story; Tullio Pinelli: Story; Federico Fellini: Screenplay; Ennio Flaiano: Screenplay,Vitelloni 
1958,31,Actor,,Tony Curtis,The Defiant Ones
1958,31,Actor,,Paul Newman,Cat on a Hot Tin Roof
1958,31,Actor,1,David Niven,Separate Tables
1958,31,Actor,,Sidney Poitier,The Defiant Ones
1958,31,Actor,,Spencer Tracy,The Old Man and the Sea
1958,31,Actor in a Supporting Role,,Theodore Bikel,The Defiant Ones
1958,31,Actor in a Supporting Role,,Lee J. Cobb,The Brothers Karamazov
1958,31,Actor in a Supporting Role,1,Burl Ives,The Big Country
1958,31,Actor in a Supporting Role,,Arthur Kennedy,Some Came Running
1958,31,Actor in a Supporting Role,,Gig Young,Teacher's Pet
1958,31,Actress,1,Susan Hayward,I Want to Live!
1958,31,Actress,,Deborah Kerr,Separate Tables
1958,31,Actress,,Shirley MacLaine,Some Came Running
1958,31,Actress,,Rosalind Russell,Auntie Mame
1958,31,Actress,,Elizabeth Taylor,Cat on a Hot Tin Roof
1958,31,Actress in a Supporting Role,,Peggy Cass,Auntie Mame
1958,31,Actress in a Supporting Role,1,Wendy Hiller,Separate Tables
1958,31,Actress in a Supporting Role,,Martha Hyer,Some Came Running
1958,31,Actress in a Supporting Role,,Maureen Stapleton,Lonelyhearts
1958,31,Actress in a Supporting Role,,Cara Williams,The Defiant Ones
1958,31,Art Direction,,Malcolm Bert: Art Direction; George James Hopkins: Set Decoration,Auntie Mame 
1958,31,Art Direction,,Cary Odell: Art Direction; Louis Diage: Set Decoration,"Bell, Book and Candle "
1958,31,Art Direction,,Lyle R. Wheeler: Art Direction; John DeCuir: Art Direction; Walter M. Scott: Set Decoration; Paul S. Fox: Set Decoration,A Certain Smile 
1958,31,Art Direction,1,William A. Horning: Art Direction; Preston Ames: Art Direction; Henry Grace: Set Decoration; Keogh Gleason: Set Decoration,Gigi 
1958,31,Art Direction,,Hal Pereira: Art Direction; Henry Bumstead: Art Direction; Sam Comer: Set Decoration; Frank McKelvy: Set Decoration,Vertigo 
1958,31,Cinematography (Black and White),1,Sam Leavitt,The Defiant Ones 
1958,31,Cinematography (Black and White),,Daniel L. Fapp,Desire under the Elms 
1958,31,Cinematography (Black and White),,Lionel Lindon,I Want to Live! 
1958,31,Cinematography (Black and White),,"Charles Lang, Jr.",Separate Tables 
1958,31,Cinematography (Black and White),,Joe MacDonald,The Young Lions 
1958,31,Cinematography (Color),,"Harry Stradling, Sr.",Auntie Mame 
1958,31,Cinematography (Color),,William Daniels,Cat on a Hot Tin Roof 
1958,31,Cinematography (Color),1,Joseph Ruttenberg,Gigi 
1958,31,Cinematography (Color),,James Wong Howe,The Old Man and the Sea 
1958,31,Cinematography (Color),,Leon Shamroy,South Pacific 
1958,31,Costume Design,,Jean Louis,"Bell, Book and Candle "
1958,31,Costume Design,,Ralph Jester; Edith Head; John Jensen,The Buccaneer 
1958,31,Costume Design,,Charles LeMaire; Mary Wills,A Certain Smile 
1958,31,Costume Design,1,Cecil Beaton,Gigi 
1958,31,Costume Design,,Walter Plunkett,Some Came Running 
1958,31,Directing,,Richard Brooks,Cat on a Hot Tin Roof 
1958,31,Directing,,Stanley Kramer,The Defiant Ones 
1958,31,Directing,1,Vincente Minnelli,Gigi 
1958,31,Directing,,Robert Wise,I Want to Live! 
1958,31,Directing,,Mark Robson,The Inn of the Sixth Happiness 
1958,31,Documentary (Feature),,James Carr: Producer,Antarctic Crossing 
1958,31,Documentary (Feature),,Robert Snyder: Producer,The Hidden World 
1958,31,Documentary (Feature),,Nathan Zucker: Producer,Psychiatric Nursing 
1958,31,Documentary (Feature),1,Ben Sharpsteen: Producer,White Wilderness 
1958,31,Documentary (Short Subject),1,Ben Sharpsteen: Producer,Ama Girls 
1958,31,Documentary (Short Subject),,Kenneth G. Brown: Producer,Employees Only 
1958,31,Documentary (Short Subject),,Ian Ferguson: Producer,Journey into Spring 
1958,31,Documentary (Short Subject),,Tom Daly: Producer,The Living Stone 
